# frame	R_proto	L_proto	RB_LB_dist
240	1	12	1.373157
240	6	7	1.283837
240	10	11	1.303266
240	16	19	1.094752
240	17	20	1.413653
240	24	25	1.435911
241	1	12	1.220030
241	6	7	1.303772
241	10	11	1.455742
241	16	19	1.252995
241	24	25	1.090194
242	1	12	1.541291
242	6	7	1.361821
242	10	11	1.006215
242	13	14	1.352830
242	16	19	1.146892
242	24	25	1.223943
243	1	12	1.141997
243	6	7	1.449189
243	10	11	1.301408
243	13	14	1.154428
243	16	19	1.408487
243	24	25	1.384140
244	1	12	1.298880
244	6	7	1.487548
244	10	11	1.344507
244	13	14	1.494431
244	16	19	1.281759
244	24	25	1.146833
245	1	12	1.401359
245	6	7	119.407401
245	13	14	1.257257
245	16	19	1.085091
245	24	25	1.362250
246	1	12	1.348971
246	6	7	1.421625
246	10	11	1.392303
246	13	14	1.322036
246	16	19	1.464412
246	24	25	1.484524
247	1	12	1.210184
247	6	7	1.459114
247	10	11	1.263481
247	13	14	1.388819
247	16	19	1.281247
247	24	25	1.169376
248	1	12	1.275400
248	6	7	1.243947
248	10	11	1.236964
248	13	14	0.942107
248	16	19	1.213277
248	24	25	1.417455
249	1	12	1.196767
249	6	7	1.004835
249	10	11	1.354303
249	13	14	1.165614
249	16	19	1.345927
249	24	25	1.220230
250	1	12	1.129715
250	6	7	1.358985
250	13	14	1.113659
250	16	19	1.450898
250	24	25	1.434541
251	1	12	1.443038
251	6	7	1.357756
251	13	14	1.183227
251	16	19	1.253602
251	24	25	1.427046
252	1	12	1.226733
252	6	7	1.288195
252	16	19	1.477593
252	24	25	1.176104
253	1	12	1.393313
253	6	7	1.433861
253	16	19	1.123788
253	24	25	1.348074
254	1	12	1.431425
254	6	7	1.451182
254	16	19	1.147357
254	24	25	1.279994
255	1	12	1.409262
255	6	7	1.284300
255	16	19	1.167666
255	24	25	1.185659
256	1	12	1.340026
256	6	7	1.161792
256	16	19	1.165686
256	24	25	1.139463
257	1	12	1.155948
257	6	7	1.293707
257	16	19	1.118436
257	24	25	1.379148
258	1	12	1.273509
258	6	7	1.563493
258	16	19	0.999387
258	24	25	1.231150
259	1	12	1.392182
259	6	7	1.346299
259	10	29	1.313975
259	16	19	1.466102
259	24	25	1.251250
260	1	12	1.273400
260	6	7	1.383041
260	10	29	1.265028
260	16	19	1.086773
260	24	25	1.218831
261	1	12	1.374079
261	6	7	1.073783
261	10	29	1.234162
261	16	19	1.207357
261	24	25	1.085166
262	1	12	1.487311
262	10	29	1.121158
262	17	20	1.470692
262	24	25	1.410029
263	1	12	1.097158
263	10	29	1.045165
263	17	20	1.490960
263	24	25	1.106175
264	1	12	1.211287
264	10	29	1.282293
264	17	20	1.351466
264	24	25	1.299755
265	1	12	1.290151
265	10	29	1.128450
265	17	20	1.108434
265	24	25	1.344797
266	1	12	1.476845
266	10	29	1.361561
266	17	20	1.380393
266	24	25	1.014919
267	1	12	1.298322
267	10	29	1.042027
267	24	25	1.317704
268	10	29	1.467489
268	24	25	1.017829
269	10	29	1.145323
269	24	25	1.358036
270	10	29	1.480279
270	24	25	1.254929
271	10	29	1.443122
271	24	25	1.437241
272	1	26	1.214270
272	10	29	1.197331
272	24	25	1.152495
273	1	26	1.217830
273	10	29	1.298667
274	1	26	1.247531
274	10	29	1.287717
275	1	26	1.435425
275	3	22	1.479059
275	10	29	1.346471
276	1	26	1.301859
276	3	22	1.338402
276	6	7	1.223119
276	10	29	1.340376
277	1	26	1.553934
277	3	22	1.062684
277	6	7	1.152679
277	16	19	1.485257
278	1	26	1.213706
278	3	22	1.386380
278	6	7	1.411537
278	16	19	1.349281
279	1	26	1.262346
279	3	22	1.324017
279	6	7	1.292173
279	16	19	1.392627
280	1	26	1.407067
280	3	22	1.140914
280	6	7	1.473761
280	10	29	1.353416
280	16	19	1.351971
281	1	26	1.025975
281	3	22	1.170158
281	6	7	1.399568
281	10	29	1.392638
281	16	19	1.169829
282	1	26	1.120586
282	3	22	1.017464
282	6	7	1.320251
282	10	29	1.246072
282	16	19	1.016982
283	1	26	1.195097
283	6	7	1.188073
283	10	29	1.264524
283	16	19	1.500973
284	1	26	1.410610
284	6	7	1.084994
284	10	29	1.358883
284	16	19	1.350727
285	1	26	1.157755
285	6	7	1.093220
285	10	29	1.173126
285	16	19	1.207775
286	1	26	1.014966
286	4	11	1.503545
286	6	7	1.074021
286	10	29	1.229556
286	12	25	1.243609
286	16	19	1.310195
287	1	26	1.293751
287	4	11	1.399536
287	6	7	1.454025
287	10	29	1.391129
287	12	25	1.314550
287	16	19	1.231749
287	22	27	1.055853
288	1	26	1.227987
288	4	11	1.186813
288	6	7	1.290482
288	10	29	1.522691
288	12	25	1.444868
288	16	19	1.273762
288	22	27	1.084047
289	1	26	1.329556
289	4	11	1.048184
289	10	29	1.457465
