# frame	protein_index	rx	ry	rz	r
64	22	0.450000	4.340000	-4.756000	6.454273
64	24	-2.130000	-2.990000	-5.736100	6.810275
64	9	-1.390000	-3.730000	-5.654410	6.915009
64	15	-0.120000	-1.790000	-7.053000	7.277590
64	25	2.120000	1.030000	-7.043900	7.427774
64	27	0.620000	-3.005000	-5.511300	6.307841
65	8	2.240000	4.248000	-4.440000	6.540390
65	14	-3.040000	3.440000	-4.091000	6.149104
65	22	0.400000	1.250000	-6.964300	7.086888
65	24	-1.190000	-0.810000	-6.458000	6.616492
65	9	0.800000	-3.060000	-6.502000	7.230464
65	15	-0.530000	-4.480000	-5.301000	6.960740
65	25	2.620000	2.730000	-5.738750	6.873904
65	27	-1.520000	-0.647000	-5.924500	6.150505
66	8	1.770000	4.166000	-5.513000	7.133136
66	22	-1.810000	3.980000	-5.572000	7.082633
66	24	-1.640000	-0.840000	-6.507000	6.762858
66	9	-1.860000	-2.270000	-5.996000	6.675666
66	15	-0.500000	-3.190000	-6.356000	7.129154
66	25	0.850000	0.700000	-6.628800	6.719635
67	8	0.900000	4.387000	-5.008000	6.718321
67	22	-0.690000	2.250000	-6.576000	6.984438
67	24	2.030000	-1.600000	-6.702600	7.183714
67	9	-2.360000	-1.780000	-5.489900	6.235143
67	15	0.740000	-3.590000	-6.082500	7.101585
67	25	3.920000	1.930000	-5.746000	7.218574
68	8	1.700000	1.737000	-6.305700	6.757886
68	22	-0.370000	2.430000	-6.097000	6.573828
68	24	-1.930000	-2.340000	-5.941000	6.670531
68	9	-0.640000	-5.610000	-4.189000	7.030606
68	15	0.240000	-4.140000	-6.094000	7.371162
68	25	-0.080000	-0.190000	-6.983100	6.986142
69	8	1.970000	3.539000	-5.520000	6.846592
69	14	-2.380000	1.250000	-6.762000	7.276781
69	22	-0.900000	3.500000	-5.535000	6.610312
69	24	-0.480000	0.680000	-6.645000	6.696927
69	9	-1.660000	-2.250000	-5.891000	6.520888
69	15	0.620000	-4.100000	-6.233400	7.486633
69	25	0.380000	2.160000	-6.108530	6.490311
69	27	-3.260000	-4.089000	-3.348000	6.209398
70	8	3.580000	0.400000	-5.554000	6.619918
70	14	1.550000	2.380000	-6.620100	7.203654
70	22	0.220000	4.080000	-5.781000	7.079178
70	24	-1.820000	-1.900000	-5.348000	5.960160
70	9	0.550000	-2.710000	-6.031000	6.634724
70	15	-1.620000	-3.050000	-6.157400	7.059779
70	25	0.410000	1.090000	-6.958900	7.055671
70	27	2.860000	-4.453000	-4.706000	7.082037
71	8	4.200000	0.430000	-5.327000	6.797193
71	14	1.060000	4.060000	-5.279900	6.744223
71	22	1.910000	1.060000	-6.784600	7.127587
71	24	0.780000	-2.540000	-6.903000	7.396716
71	9	-0.580000	-3.990000	-5.602000	6.902094
71	15	-0.510000	-4.940000	-4.631900	6.791038
71	25	1.850000	-0.640000	-6.608700	6.892533
71	27	1.950000	-1.896000	-6.100100	6.678962
72	14	-1.810000	3.620000	-5.819900	7.088846
72	22	1.060000	2.950000	-6.236000	6.979527
72	24	-1.170000	-1.220000	-6.353000	6.574033
72	15	-0.410000	-4.450000	-5.724000	7.261871
72	25	2.620000	1.790000	-6.104800	6.880195
72	27	0.060000	-3.274000	-5.826000	6.683184
73	14	0.720000	3.220000	-6.108545	6.942702
73	22	0.190000	5.160000	-4.926000	7.136328
73	24	-3.430000	-2.100000	-6.553000	7.688739
73	15	-2.600000	-1.850000	-6.202300	6.975029
73	25	1.710000	0.760000	-7.099000	7.341492
73	27	2.000000	-3.678000	-5.731100	7.097407
74	14	-0.510000	1.850000	-5.412000	5.742155
74	22	1.460000	4.130000	-5.777700	7.250539
74	15	-1.560000	-3.000000	-4.892000	5.946870
74	27	-0.400000	-3.980000	-5.450800	6.761037
75	14	-1.330000	3.830000	-5.223200	6.612081
75	22	-0.390000	3.370000	-6.045800	6.932582
75	15	-1.320000	-3.500000	-5.270400	6.462934
75	27	-1.300000	-3.470000	-6.201800	7.224488
76	14	1.160000	4.210000	-5.226610	6.810811
76	22	2.170000	-0.090000	-6.763700	7.103847
76	15	-2.640000	-3.730000	-5.599300	7.227355
76	27	2.610000	-3.787000	-5.397000	7.090915
77	14	-0.890000	4.180000	-5.129000	6.676162
77	22	-1.610000	3.310000	-5.990000	7.030526
77	15	-2.270000	-3.610000	-5.220600	6.740895
77	27	2.330000	-3.380000	-6.235900	7.465906
78	14	-1.600000	2.310000	-5.882000	6.518744
78	22	2.280000	4.510000	-4.086000	6.498761
78	15	-0.530000	-1.970000	-6.707000	7.010396
78	27	3.670000	-3.720000	-4.921000	7.177990
79	14	-3.390000	2.170000	-5.469900	6.791230
79	22	-1.750000	0.970000	-6.380000	6.686389
79	15	-1.820000	-4.720000	-4.765200	6.949671
79	27	-0.030000	-3.770000	-5.544300	6.704705
80	14	-1.190000	4.770000	-4.096300	6.399115
80	22	0.460000	3.800000	-5.289000	6.528792
80	15	0.480000	-3.260000	-5.488900	6.402033
80	27	1.320000	-2.330000	-6.540600	7.067584
81	14	-2.130000	3.620000	-6.085000	7.393817
81	22	1.000000	3.130000	-6.160900	6.982377
81	15	1.110000	-3.290000	-4.677300	5.825233
81	27	3.060000	-2.350000	-4.996000	6.312378
82	14	-2.920000	2.180000	-5.907000	6.940565
82	22	-1.230000	3.220000	-5.831000	6.773615
82	15	-1.300000	-4.270000	-5.614100	7.172239
82	27	3.240000	-3.550000	-4.820000	6.806798
83	14	-1.430000	2.770000	-5.681000	6.480090
83	22	-0.020000	3.110000	-6.302600	7.028177
83	15	-1.080000	-3.730000	-5.651740	6.857220
83	27	4.000000	-1.990000	-5.486000	7.075047
84	14	-5.080000	1.430000	-4.819600	7.147016
84	22	1.230000	3.970000	-4.864000	6.397835
84	15	-1.160000	-2.700000	-6.501800	7.135055
84	27	1.926000	-0.600000	-6.344000	6.657012
